76001,Alaa,Abdelnaby,Alaa Abdelnaby,"Abdelnaby, Alaa",A. Abdelnaby,alaa-abdelnaby,1968-06-24 00:00:00,Duke,USA,Duke/USA,6-10,240,5.0,30,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_alaa_abdelnaby,1990.0,1994.0,N,Y,Y,1990,1,25,N
76003,Kareem,Abdul-Jabbar,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",K. Abdul-Jabbar,kareem-abdul-jabbar,1947-04-16 00:00:00,UCLA,USA,UCLA/USA,7-2,225,20.0,33,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,1969.0,1988.0,N,Y,Y,1969,1,1,Y
1505,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,tariq-abdul-wahad,1974-11-03 00:00:00,San Jose State,France,San Jose State/France,6-6,235,7.0,9,Forward-Guard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,tariq_abdul-wahad,1997.0,2003.0,N,Y,Y,1997,1,11,N
949,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,shareef-abdur-rahim,1976-12-11 00:00:00,California,USA,California/USA,6-9,245,13.0,3,Forward,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,1996.0,2007.0,N,Y,Y,1996,1,3,N
76005,Tom,Abernethy,Tom Abernethy,"Abernethy, Tom",T. Abernethy,tom-abernethy,1954-05-06 00:00:00,Indiana,USA,Indiana/USA,6-7,220,5.0,5,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_tom_abernethy,1976.0,1980.0,N,Y,Y,1976,3,43,N
76006,Forest,Able,Forest Able,"Able, Forest",F. Able,forest-able,1932-07-27 00:00:00,Western Kentucky,USA,Western Kentucky/USA,6-3,180,1.0,6,Guard,Inactive,N,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,1956.0,1956.0,N,Y,Y,1956,,,N
76007,John,Abramovic,John Abramovic,"Abramovic, John",J. Abramovic,john-abramovic,1919-02-09 00:00:00,Salem,USA,Salem/USA,6-3,195,2.0,,Forward,Inactive,N,1610610031,Ironmen,PIT,ironmen,Pittsburgh,HISTADD_brooms_abramovic,1946.0,1947.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
203518,Alex,Abrines,Alex Abrines,"Abrines, Alex",A. Abrines,alex-abrines,1993-08-01 00:00:00,FC Barcelona,Spain,FC Barcelona/Spain,6-6,200,3.0,,Guard,Inactive,N,0,,,,,alex_abrines,2016.0,2018.0,N,Y,Y,2013,2,32,N
1630173,Precious,Achiuwa,Precious Achiuwa,"Achiuwa, Precious",P. Achiuwa,precious-achiuwa,1999-09-19 00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,225,3.0,5,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,precious_achiuwa,2020.0,2023.0,N,Y,Y,2020,1,20,N
101165,Alex,Acker,Alex Acker,"Acker, Alex",A. Acker,alex-acker,1983-01-21 00:00:00,Pepperdine,USA,Pepperdine/USA,6-5,185,3.0,3,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,alex_acker,2005.0,2008.0,Y,Y,Y,2005,2,60,N
76008,Donald,Ackerman,Donald Ackerman,"Ackerman, Donald",D. Ackerman,donald-ackerman,1930-09-04 00:00:00,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,6-0,183,1.0,,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,1953.0,1953.0,N,Y,Y,1953,2,,N
76009,Mark,Acres,Mark Acres,"Acres, Mark",M. Acres,mark-acres,1962-11-15 00:00:00,Oral Roberts,USA,Oral Roberts/USA,6-11,220,6.0,42,Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,HISTADD_mark_acres,1987.0,1992.0,N,Y,Y,1985,2,40,N
76010,Charles,Acton,Charles Acton,"Acton, Charles",C. Acton,charles-acton,1942-01-11 00:00:00,Hillsdale,USA,Hillsdale/USA,6-6,210,1.0,24,Forward,Inactive,N,1610612745,Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,1967.0,1967.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,quincy-acy,1990-10-06 00:00:00,Baylor,USA,Baylor/USA,6-7,240,7.0,,Forward,Inactive,N,0,,,,,quincy_acy,2012.0,2018.0,Y,Y,Y,2012,2,37,N
76011,Alvan,Adams,Alvan Adams,"Adams, Alvan",A. Adams,alvan-adams,1954-07-19 00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,210,13.0,33,Center,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,1975.0,1987.0,N,Y,Y,1975,1,4,N
76012,Don,Adams,Don Adams,"Adams, Don",D. Adams,don-adams,1947-11-27 00:00:00,Northwestern,USA,Northwestern/USA,6-7,210,7.0,10,Forward,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_don_adams,1970.0,1976.0,N,Y,Y,1970,8,120,N
200801,Hassan,Adams,Hassan Adams,"Adams, Hassan",H. Adams,hassan-adams,1984-06-20 00:00:00,Arizona,USA,Arizona/USA,6-4,220,2.0,,Forward,Inactive,N,0,,,,,hassan_adams,2006.0,2008.0,N,Y,Y,2006,2,54,N
1629121,Jaylen,Adams,Jaylen Adams,"Adams, Jaylen",J. Adams,jaylen-adams,1996-05-04 00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,6-0,225,3.0,,Guard,Inactive,N,0,,,,,jaylen_adams,2018.0,2020.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
203919,Jordan,Adams,Jordan Adams,"Adams, Jordan",J. Adams,jordan-adams,1994-07-08 00:00:00,UCLA,USA,UCLA/USA,6-5,209,3.0,3,Guard,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014.0,2015.0,Y,Y,Y,2014,1,22,N
149,Michael,Adams,Michael Adams,"Adams, Michael",M. Adams,michael-adams,1963-01-19 00:00:00,Boston College,USA,Boston College/USA,5-10,165,11.0,23,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,michael_adams,1985.0,1995.0,N,Y,Y,1985,3,66,N
203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20 00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,10.0,4,Center,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013.0,2023.0,N,Y,Y,2013,1,12,N
912,Rafael,Addison,Rafael Addison,"Addison, Rafael",R. Addison,rafael-addison,1964-07-22 00:00:00,Syracuse,USA,Syracuse/USA,6-8,241,6.0,7,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,rafael_addison,1986.0,1996.0,N,Y,Y,1986,2,39,N
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18 00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,6.0,13,Center-Forward,Active,N,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017.0,2023.0,N,Y,Y,2017,1,14,N
1629061,Deng,Adel,Deng Adel,"Adel, Deng",D. Adel,deng-adel,1997-02-01 00:00:00,Louisville,South Sudan,Louisville/South Sudan,6-7,200,2.0,32,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,2018.0,2018.0,Y,Y,Y,2018,,,N
76015,Rick,Adelman,Rick Adelman,"Adelman, Rick",R. Adelman,rick-adelman,1946-06-16 00:00:00,Loyola-Marymount,USA,Loyola-Marymount/USA,6-2,175,7.0,5,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_rick_adelman,1968.0,1974.0,N,Y,Y,1968,7,79,N
202399,Jeff,Adrien,Jeff Adrien,"Adrien, Jeff",J. Adrien,jeff-adrien,1986-02-10 00:00:00,Connecticut,USA,Connecticut/USA,,,6.0,,,Inactive,N,0,,,,,jeff_adrien,2010.0,2014.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
201167,Arron,Afflalo,Arron Afflalo,"Afflalo, Arron",A. Afflalo,arron-afflalo,1985-10-15 00:00:00,UCLA,USA,UCLA/USA,6-5,210,12.0,4,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,arron_afflalo,2007.0,2017.0,N,Y,Y,2007,1,27,N
1630534,Ochai,Agbaji,Ochai Agbaji,"Agbaji, Ochai",O. Agbaji,ochai-agbaji,2000-04-20 00:00:00,Kansas,USA,Kansas/USA,6-5,215,1.0,30,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,ochai_agbaji,2022.0,2023.0,Y,Y,Y,2022,1,14,N
